,option,env,represented_by_env,kld
162,bmp,jpeg-medium,psd-large,0.0
163,bmp,jpeg-medium,psd-medium,0.14652314743434786
164,bmp,jpeg-medium,psd-small,0.1696550755647362
165,bmp,jpeg-medium,svg-large,0.6400460480682422
166,bmp,jpeg-medium,svg-medium,0.4354795923418742
167,bmp,jpeg-medium,svg-small,2.138985754953644
168,bmp,jpeg-small,jpeg-large,0.0
169,bmp,jpeg-small,jpeg-medium,0.0
170,bmp,jpeg-small,jpeg-small,0.0
171,bmp,jpeg-small,png-large,0.0
172,bmp,jpeg-small,png-medium,0.0
173,bmp,jpeg-small,png-small,0.0
174,bmp,jpeg-small,psd-large,0.0
175,bmp,jpeg-small,psd-medium,0.0
176,bmp,jpeg-small,psd-small,0.42386454664137696
177,bmp,jpeg-small,svg-large,0.0
178,bmp,jpeg-small,svg-medium,0.9049784181934806
179,bmp,jpeg-small,svg-small,2.9165466816815235
180,bmp,png-large,jpeg-large,0.0
181,bmp,png-large,jpeg-medium,0.10915697036016278
182,bmp,png-large,jpeg-small,0.5804480773139868
183,bmp,png-large,png-large,0.0
184,bmp,png-large,png-medium,0.003818059778009758
185,bmp,png-large,png-small,0.14353349246730024
186,bmp,png-large,psd-large,0.0
187,bmp,png-large,psd-medium,0.04230423421349607
188,bmp,png-large,psd-small,0.5092419285734152
189,bmp,png-large,svg-large,0.33458567320077554
190,bmp,png-large,svg-medium,0.8608092723746162
191,bmp,png-large,svg-small,2.9599078653709334
192,bmp,png-medium,jpeg-large,0.22166063927666188
193,bmp,png-medium,jpeg-medium,0.4827168063350274
194,bmp,png-medium,jpeg-small,0.6605888161842415
195,bmp,png-medium,png-large,0.11126107536041929
196,bmp,png-medium,png-medium,0.0
197,bmp,png-medium,png-small,0.3757556072596161
198,bmp,png-medium,psd-large,0.0
199,bmp,png-medium,psd-medium,0.2921210420337583
200,bmp,png-medium,psd-small,0.9930678018073674
201,bmp,png-medium,svg-large,0.47601541136813846
202,bmp,png-medium,svg-medium,1.5588285832945576
203,bmp,png-medium,svg-small,3.9396085159085232
