,Unnamed: 0,params.rnd,Model,Subject System,params.exp_id,params.train_size,Relative Train Size,Pooling,params.experiment-type,Metric,Value
117454,6814,25,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.125,complete,multitask,pMAPE,146.00193471718558
117455,6822,1,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,26,2,complete,multitask,pMAPE,360.0582740308647
117456,6826,25,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,8,0.75,no,multitask,pMAPE,257.35097205411176
117457,6831,28,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,16,1,complete,multitask,pMAPE,11.28035258312859
117458,6833,23,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,24,1.5,complete,multitask,pMAPE,7.631872049550379
117459,6839,4,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,19,1.5,complete,multitask,pMAPE,330.00185501187
117460,6840,11,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,12,0.75,complete,multitask,pMAPE,11.594655548227855
117461,6841,14,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,complete,multitask,pMAPE,13.740695493691227
117462,6842,10,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,no,multitask,pMAPE,16.549171765984294
117463,6846,15,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.125,complete,multitask,pMAPE,164.4797005744126
117464,6847,11,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,no,multitask,pMAPE,128.93107235367677
117465,6856,15,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.25,no,multitask,pMAPE,25.913771602387477
117466,6857,7,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,complete,multitask,pMAPE,61.4179682326325
117467,6863,22,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,24,1.5,complete,multitask,pMAPE,52.16750505949632
117468,6866,11,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,7,0.75,no,multitask,pMAPE,14.421333435681625
117469,6879,16,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,78,3,complete,multitask,pMAPE,63.12800605035426
117470,6883,25,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,1,0.125,complete,multitask,pMAPE,150.6352118844427
117471,6886,21,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.125,complete,multitask,pMAPE,71.61777087044018
117472,6897,6,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,1,0.125,complete,multitask,pMAPE,28.11504145221262
117473,6899,9,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,28,1.5,complete,multitask,pMAPE,22.235755237920685
117474,6900,26,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,9,0.75,no,multitask,pMAPE,737.6088309140939
117475,6904,14,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,5,0.5,no,multitask,pMAPE,337.4923700672027
117476,6905,21,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.125,no,multitask,pMAPE,79.87194287662246
117477,6906,4,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,14,0.75,no,multitask,pMAPE,43.88392258877668
117478,6911,17,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,32,2,complete,multitask,pMAPE,10.389180953861638
117479,6912,1,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.125,no,multitask,pMAPE,16.700412453192104
117480,6918,4,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,no,multitask,pMAPE,193.14421450918667
117481,6919,27,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,31,1,complete,multitask,pMAPE,101.69118276237484
117482,6920,2,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,93,3,no,multitask,pMAPE,85.7360369107501
117483,6923,22,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,19,0.75,no,multitask,pMAPE,74.92704185755397
117484,6924,25,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,48,3,complete,multitask,pMAPE,6.9789955399068
117485,6928,23,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.25,no,multitask,pMAPE,438.3379391637888
117486,6930,20,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,no,multitask,pMAPE,79.33248205512146
117487,6935,28,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,1,0.125,no,multitask,pMAPE,26.253310483677502
117488,6938,5,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,complete,multitask,pMAPE,69.94555182708707
117489,6939,2,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,9,0.75,complete,multitask,pMAPE,351.6873439249274
117490,6941,25,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,6,0.5,complete,multitask,pMAPE,290.9626917276156
117491,6943,29,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,16,1.5,no,multitask,pMAPE,239.88966932175657
117492,6959,7,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,7,0.25,complete,multitask,pMAPE,111.38939402499896
117493,6960,8,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,48,3,complete,multitask,pMAPE,31.661973297717388
117494,6962,17,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,24,1.5,complete,multitask,pMAPE,53.25161197431585
